,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-03-01,,,,,,,,11.0,,,,
2020-03-02,,,,,,,1.0,12.0,,,,
2020-03-03,,,,,,,0.0,12.0,,,,
2020-03-04,,,,,,,0.0,12.0,,,,
2020-03-05,,,2.0,,,,1.0,13.0,,,,
2020-03-06,,2.0,2.0,,,,3.0,16.0,,,,
2020-03-07,,2.0,5.0,,,,0.0,16.0,,,,
2020-03-08,,5.0,3.0,,,,0.0,16.0,,,,
2020-03-09,,3.0,3.0,,,,1.0,17.0,,,,
2020-03-10,,0.0,5.0,,,,4.0,21.0,,,,
2020-03-11,,2.0,11.0,,,,4.0,25.0,,,,
2020-03-12,,1.0,4.0,,,,3.0,28.0,,,,
2020-03-13,,10.0,11.0,,,,2.0,29.0,,,,
2020-03-14,,5.0,10.0,,,,2.0,31.0,,,,
2020-03-15,,11.0,2.0,,,,1.0,31.0,,,,
2020-03-16,,7.0,8.0,,,,4.0,35.0,,,,
2020-03-17,,10.0,8.0,,,,5.0,37.0,,,,
2020-03-18,,6.0,13.0,,1.0,1.0,8.0,43.0,,,,
2020-03-19,,9.0,14.0,,1.0,0.0,5.0,44.0,,,,
2020-03-20,,9.0,17.0,,0.0,0.0,12.0,56.0,,,,
2020-03-21,,22.0,20.0,1.0,1.0,1.0,15.0,70.0,,,,
2020-03-22,,20.0,18.0,0.0,1.0,1.0,10.0,77.0,,,,
2020-03-23,,20.0,41.0,1.0,5.0,4.0,18.0,87.0,,,,
2020-03-24,,24.0,41.0,2.0,2.0,3.0,15.0,94.0,,,,
2020-03-25,,37.0,56.0,2.0,4.0,4.0,29.0,116.0,,,,
2020-03-26,,32.0,76.0,3.0,2.0,4.0,28.0,140.0,,,,
2020-03-27,,34.0,67.0,3.0,3.0,6.0,30.0,158.0,,,,
2020-03-28,,49.0,76.0,2.0,8.0,9.0,37.0,188.0,,,,
2020-03-29,,86.0,62.0,6.0,4.0,4.0,34.0,207.0,,,,
2020-03-30,,123.0,84.0,1.0,4.0,7.0,35.0,227.0,,,,
2020-03-31,,53.0,111.0,6.0,5.0,8.0,43.0,252.0,,,,
2020-04-01,,103.0,101.0,2.0,4.0,7.0,45.0,280.0,,,,
2020-04-02,,85.0,105.0,6.0,10.0,14.0,44.0,305.0,,770.0,1.2987012987012987,5.714285714285714
2020-04-03,,130.0,102.0,12.0,10.0,13.0,44.0,306.0,,898.0,1.1135857461024499,4.8997772828507795
2020-04-04,,94.0,86.0,8.0,9.0,14.0,41.0,330.0,,990.0,0.9090909090909091,4.141414141414142
2020-04-05,,91.0,60.0,7.0,11.0,16.0,29.0,330.0,,1076.0,1.0223048327137547,2.6951672862453533
