,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-02-28,,,1.0,,,,,,,,,
2020-02-29,,,0.0,,,,,,,,,
2020-03-01,,,2.0,,,,3.0,,,,,
2020-03-02,,1.0,1.0,,,,11.0,,,,,
2020-03-03,,0.0,3.0,,,,14.0,,,,,
2020-03-04,,2.0,6.0,,,,9.0,,,,,
2020-03-05,,3.0,2.0,,,,18.0,,,,,
2020-03-06,,5.0,6.0,,,,23.0,,,,,
2020-03-07,,5.0,6.0,,,,9.0,,,,,
2020-03-08,,2.0,3.0,,,,10.0,,,,,
2020-03-09,,5.0,16.0,,,,19.0,,,,,
2020-03-10,,4.0,21.0,,,,29.0,,,,,
2020-03-11,,9.0,25.0,,,,27.0,,,,,
2020-03-12,,24.0,38.0,,1.0,2.0,23.0,,,,,
2020-03-13,,25.0,48.0,,0.0,0.0,24.0,,,,,
2020-03-14,,36.0,19.0,1.0,2.0,2.0,21.0,,,,,
2020-03-15,,32.0,12.0,0.0,0.0,1.0,17.0,,,,,
2020-03-16,,18.0,21.0,0.0,1.0,3.0,30.0,,,,,
2020-03-17,,24.0,43.0,1.0,2.0,3.0,42.0,,,,,
2020-03-18,,32.0,41.0,1.0,0.0,4.0,45.0,,,,,
2020-03-19,,39.0,50.0,3.0,3.0,4.0,44.0,,,,,
2020-03-20,,56.0,84.0,0.0,5.0,5.0,72.0,,,,,
2020-03-21,,51.0,67.0,1.0,6.0,7.0,64.0,,,,,
2020-03-22,,43.0,74.0,3.0,5.0,6.0,53.0,,,,,
2020-03-23,,83.0,138.0,4.0,4.0,7.0,95.0,,,,,
2020-03-24,,85.0,167.0,2.0,7.0,12.0,96.0,,,,,
2020-03-25,,135.0,188.0,6.0,11.0,22.0,125.0,,,,,
2020-03-26,,175.0,223.0,3.0,12.0,24.0,157.0,,,,,
2020-03-27,,165.0,274.0,8.0,11.0,23.0,150.0,404.0,,,,
2020-03-28,,186.0,204.0,7.0,29.0,37.0,160.0,511.0,,,,
2020-03-29,,139.0,197.0,1.0,20.0,27.0,139.0,565.0,,1384.0,1.4450867052023122,10.04335260115607
2020-03-30,,179.0,317.0,6.0,30.0,51.0,190.0,627.0,,1562.0,1.9206145966709345,12.163892445582587
2020-03-31,1710.0,430.0,341.0,22.0,38.0,57.0,186.0,752.0,25.146198830409354,1992.0,1.9076305220883536,9.33734939759036
2020-04-01,1118.0,317.0,389.0,28.0,46.0,65.0,214.0,815.0,28.354203935599287,2307.0,1.9939315127871695,9.276116168183789
2020-04-02,1526.0,292.0,351.0,29.0,36.0,61.0,169.0,910.0,19.134993446920053,2596.0,1.386748844375963,6.510015408320494
2020-04-03,1522.0,399.0,381.0,46.0,58.0,75.0,214.0,1037.0,26.215505913272008,2990.0,1.939799331103679,7.157190635451505
2020-04-04,3018.0,344.0,261.0,46.0,28.0,56.0,154.0,1107.0,11.398277004638834,3329.0,0.8410934214478822,4.6260138179633525
2020-04-05,1048.0,361.0,225.0,2.0,47.0,86.0,158.0,1204.0,34.44656488549619,3688.0,1.2744034707158352,4.2841648590021695
2020-04-06,1221.0,255.0,404.0,2.0,63.0,91.0,203.0,1262.0,20.884520884520885,3938.0,1.5997968511934992,5.1549009649568305
2020-04-07,1709.0,268.0,352.0,74.0,49.0,85.0,171.0,1328.0,15.681685196021064,4202.0,1.1661113755354593,4.069490718705379
2020-04-08,1774.0,336.0,343.0,70.0,54.0,92.0,157.0,1415.0,18.940248027057496,4529.0,1.1923161845882093,3.4665489070434976
2020-04-09,1567.0,392.0,304.0,81.0,66.0,108.0,132.0,1440.0,25.015954052329292,4897.0,1.3477639371043495,2.695527874208699
2020-04-10,1787.0,318.0,329.0,48.0,58.0,98.0,116.0,1461.0,17.79518746502518,5190.0,1.1175337186897882,2.2350674373795765
2020-04-11,1617.0,315.0,185.0,47.0,50.0,94.0,80.0,1467.0,19.480519480519483,5469.0,0.9142439202779301,1.4627902724446882
2020-04-12,957.0,322.0,220.0,24.0,48.0,75.0,85.0,1487.0,33.646812957157785,5759.0,0.8334780343809689,1.4759506858829659
2020-04-13,1429.0,155.0,359.0,9.0,41.0,81.0,103.0,1482.0,10.846745976207139,5896.0,0.6953867028493894,1.7469470827679783
2020-04-14,1734.0,291.0,346.0,40.0,51.0,100.0,101.0,1514.0,16.782006920415224,6163.0,0.8275190653902321,1.6388122667532046
2020-04-15,1836.0,390.0,331.0,84.0,42.0,94.0,98.0,1486.0,21.241830065359476,6521.0,0.6440729949394265,1.5028369881919952
2020-04-16,1682.0,354.0,428.0,80.0,43.0,101.0,97.0,1479.0,21.046373365041617,6836.0,0.6290228203627852,1.4189584552369807
2020-04-17,2015.0,307.0,394.0,58.0,38.0,84.0,109.0,1487.0,15.23573200992556,7087.0,0.5361930294906166,1.5380273740651897
2020-04-18,1709.0,411.0,264.0,56.0,52.0,95.0,75.0,1501.0,24.049151550614393,7447.0,0.6982677588290587,1.007116959849604
2020-04-19,1332.0,367.0,159.0,10.0,46.0,90.0,58.0,1520.0,27.55255255255255,7771.0,0.5919444086990091,0.7463646892291854
2020-04-20,1401.0,263.0,348.0,12.0,61.0,105.0,67.0,1520.0,18.77230549607423,7951.0,0.7671990944535279,0.8426613004653503
2020-04-21,2224.0,222.0,400.0,70.0,51.0,96.0,69.0,1472.0,9.982014388489208,8088.0,0.6305637982195845,0.8531157270029673
2020-04-22,2184.0,366.0,340.0,77.0,46.0,88.0,66.0,1432.0,16.758241758241756,8319.0,0.5529510758504628,0.7933645870897944
2020-04-23,1772.0,371.0,314.0,58.0,49.0,72.0,66.0,1423.0,20.936794582392775,8515.0,0.5754550792718731,0.7751027598355843
2020-04-24,2222.0,288.0,306.0,64.0,38.0,76.0,91.0,1383.0,12.961296129612961,8638.0,0.43991664737207686,1.053484602917342
2020-04-25,2098.0,354.0,184.0,47.0,48.0,79.0,42.0,1385.0,16.873212583412776,8806.0,0.5450828980240745,0.47694753577106513
2020-04-26,2608.0,273.0,171.0,18.0,43.0,78.0,39.0,1382.0,10.467791411042946,8940.0,0.4809843400447427,0.436241610738255
